आफ्रिकाखण्डः	Afrika
धौलपुरमण्डलम्	Dholpur (district)
द्राक्षाफलरसः	Druivensap
मीनराशिः	Vissen (astrologie)
डुङ्गरपुरमण्डलम्	Dungarpur (district)
सम्भल्पुर मण्डलम्	Sambalpur (district)
द्वापरयुगम्	Dwapara Yuga
स्कन्दगुप्तः	Skandagupta
अलाबु	Fleskalebas
प्राचीनगणितम्	Indiase wiskunde
गाझिपुरमण्डलम्	Ghazipur (district)
वाराणसीमण्डलम्	Benares (district)
रायबरेलीमण्डलम्	Rae Bareli (district)
त्रिपिटकम् (बौद्धदर्शनम्)	Tripitaka
उदयपुरमण्डलम्	Udaipur (district)
राजमाषशाकम्	Kousenband (plant)
विकिपीडिया:वैज्ञानिक-शब्दावलिः/A	Pandit
मोरादाबादमण्डलम्	Moradabad (district)
दीर्घकालीना उत्क्रान्तिः - पराक्रान्ता	Geavanceerde LTE
जलपाइगुडिमण्डलम्	Jalpaiguri (district)
कोट्टयममण्डलम्	Kottayam (district)
जौनपुरमण्डलम्	Jaunpur (district)
एर्णाकुलम् मण्डलम्	Ernakulam (district)
हनुमानगढमण्डलम्	Hanumangarh (district)
महाराजागञ्जमण्डलम्	Maharajganj (district)
सुल्तानपुरमण्डलम्	Sultanpur (district)
कान्हेरीगुहाः	Kanheri
टिहरीगढवालमण्डलम्	Tehri Garhwal
सीमानियन्त्रणरेखा	Line of Control
चालुक्यवंशः	Chalukya's
कल्हणः	Kalhana
मञ्जुल भार्गव	Manjul Bhargava
साबरमती आश्रमः	Sabarmati Ashram
वर्गः:जर्मनीदेशः	Categorie:Duitsland
वर्गः:रशियादेशः	Categorie:Rusland
वर्गः:चीनादेशः	Categorie:China
वर्गः:भारतम्	Categorie:India
करौलीमण्डलम्	Karauli (district)
श्रीगङ्गानगरमण्डलम्	Ganganagar (district)
जैसलमेरमण्डलम्	Jaisalmer (district)
सीकरमण्डलम्	Sikar (district)
साङ्गलीमण्डलम्	Sangli (district)
रायचूरुमण्डलम्	Raichur (district)
पूर्वमेदिनीपुर-मण्डलम्	Purba Medinipur
जोधपुरमण्डलम्	Jodhpur (district)
क्षत्रियः	Kshattriya
फिरोझाबाद्	Firozabad (stad)
वर्गः:इण्डोनेशियादेशः	Categorie:Indonesië
वर्गः:पाकिस्तानम्	Categorie:Pakistan
वर्गः:विश्वपरम्परास्थानानि	Categorie:Werelderfgoed
जालौरमण्डलम्	Jalore (district)
झालावाडमण्डलम्	Jhalawar (district)
झुञ्झुनुमण्डलम्	Jhunjhunun (district)
सुबर्नपुर मण्डलम्	Sonepur (district)
प्रतापगढमण्डलम्, उत्तरप्रदेशः	Pratapgarh (district)
अनन्तपद्मनाभदेवालयः (तिरुवनन्तपुरम्)	Padmanabhaswamytempel
हावडामण्डलम्	Haora (district)
छायाग्राहिका	Camera
रामपुरम्, उत्तरप्रदेशः	Rampur (Uttar Pradesh)
सवाई माधोपुरमण्डलम्	Sawai Madhopur (district)
नागौरमण्डलम्	Nagaur (district)
मवुमण्डलम्	Mau (district)
मीनाक्षी	Minakshi
गजेन्द्रगड	Gajendragarh
एटा	Etah (plaats in India)
फतेहपुरम्, उत्तरप्रदेशः	Fatehpur (Fatehpur)
मुर्शिदाबादमण्डलम्	Murshidabad (district)
समाजवादीपक्षः	Socialistische Partij (India)
महामरीचिका	Paprika
कोडगुमण्डलम्	Kodagu
ग्यानपुरम्	Gyanpur
रामनाथन् कृष्णन्	Ramanathan Krishnan
नन्दुरबारमण्डलम्	Nandurbar (district)
विदिशा	Vidisha (stad)
हैदराबाद्, पाकिस्तानम्	Hyderabad (Pakistan)
कूटियाट्टम्	Kutiyattam
युगम्	Yuga
पठानकोट	Pathankot
उस्मानाबादमण्डलम्	Osmanabad (district)
सबीर भाटिया	Sabeer Bhatia
मुख्यमन्त्री	Chief minister
हरदोयी	Hardoi (stad)
गोकाक	Gokak
हुम्नाबाद्	Homnabad
राबर्ट्स्गञ्ज	Robertsganj
हाथरस	Hathras (stad)
बिजापुरमण्डलम्	Bijapur (district)
रामानुजाचार्यः	Ramanuja (persoon)
बुलन्दशहरमण्डलम्	Bulandshahr (district)
हुक्केरी	Hukeri
लखीमपुरखीरीमण्डलम्	Lakhimpur Kheri (district)
खेडामण्डलम्	Kheda (district)
मेरठमण्डलम्	Meerut (district)
हिन्दुस्तानीशास्त्रीयसङ्गीतम्	Hindoestaanse muziek
चारमीनार्	Charminar
रत्नगिरिमण्डलम्	Ratnagiri (district)
अमरावतीमण्डलम्	Amravati (district)
अङ्गुल्-मण्डलम्	Angul (district)
त्रेतायुगम्	Treta Yuga
पोरबन्दरमण्डलम्	Porbandar (district)
हरदोयीमण्डलम्	Hardoi (district)
पूर्वसिक्किममण्डलम्	Oost-Sikkim
साबरकाठामण्डलम्	Sabarkantha
गान्धीनगरमण्डलम्	Gandhinagar (district)
लखनौमण्डलम्	Lucknow (district)
मथुरामण्डलम्	Mathura (district)
इलाहाबादमण्डलम्	Allahabad (district)
एटामण्डलम्	Etah (district)
उत्तरकाशीमण्डलम्	Uttarkashi (district)
गाझियाबादमण्डलम्, भारतम्	Ghaziabad (district)
पञ्चमहालमण्डलम्	Panchmahal
उत्तरसिक्किममण्डलम्	Noord-Sikkim
गौतमबुद्धनगरमण्डलम्	Gautam Buddha Nagar
बीदरमण्डलम्	Bidar (district)
धारवाडमण्डलम्	Dharwad (district)
नर्मदामण्डलम्	Narmada (district)
सोलापुरमण्डलम्	Solapur (district)
नाशिकमण्डलम्	Nashik (district)
चन्द्रपुरमण्डलम्	Chandrapur (district)
जळगावमण्डलम्	Jalgaon (district)
नैनितालमण्डलम्	Nainital (district)
कोल्हापुरमण्डलम्	Kolhapur (district)
सुरतमण्डलम्	Surat (district)
सहारनपुरमण्डलम्	Saharanpur (district)
पुणेमण्डलम्	Poona (district)
नवसारीमण्डलम्	Navsari (district)
बागपतमण्डलम्	Bagpat (district)
नागपुरमण्डलम्	Nagpur (district)
चमोलीमण्डलम्	Chamoli
बरेलीमण्डलम्	Bareilly (district)
धुळेमण्डलम्	Dhule (district)
परभणीमण्डलम्	Parbhani (district)
गडचिरोलीमण्डलम्	Gadchiroli (district)
यवतमाळमण्डलम्	Yavatmal (district)
वाशिममण्डलम्	Washim (district)
जालनामण्डलम्	Jalna (district)
दक्षिण सिक्किम् मण्डलः	Zuid-Sikkim
रुद्रप्रयागमण्डलम्	Rudraprayag (district)
अल्मोडामण्डलम्	Almora (district)
ऊधमसिंहनगरमण्डलम्	Udham Singh Nagar
हर्षचरितम्	Harshacharita
नुवापाद मण्डलम्	Nuapada (district)
औरैयामण्डलम्	Auraiya (district)
सीतापुरमण्डलम्	Sitapur (district)
बहरैचमण्डलम्	Bahraich (district)
शाहजहानपुरमण्डलम्	Shahjahanpur (district)
भण्डारामण्डलम्	Bhandara (district)
फैजाबादमण्डलम्	Faizabad (district)
महोबा	Mahoba (stad)
महामायानगरमण्डलम्	Hathras (district)
रायसेनमण्डलम्	Raisen (district)
राजकोटमण्डलम्	Rajkot (district)
विदिशामण्डलम्	Vidisha (district)
बदांयूमण्डलम्	Budaun (district)
पाटणमण्डलम्	Patan (district)
बैतूलमण्डलम्	Betul (district)
इटावामण्डलम्	Etawah (district)
बागेश्वरमण्डलम्	Bageshwar (district)
महोबामण्डलम्	Mahoba (district)
रामपुरमण्डलम्	Rampur (district)
सिद्धार्थनगरमण्डलम्	Siddharthnagar
देहरादूनमण्डलम्	Dehradun (district)
मैनपुरीमण्डलम्	Mainpuri (district)
पुरी मण्डलम्	Puri (district)
साइहामण्डलम्	Saiha (district)
राजगढमण्डलम्	Rajgarh (district)
कुशीनगरमण्डलम्	Kushinagar (district)
गान्धारी	Gandhari
पश्चिममेदिनीपुर-मण्डलम्	Paschim Medinipur
दावणगेरेमण्डलम्	Davanagere (district)
सालार् जङ्ग वस्तुसङ्ग्रहालयः	Salar Jung Museum
मन्दसौरमण्डलम्	Mandsaur (district)
काळहंदि मण्डलम्	Kalahandi
रि-भोई	Ri-Bhoi
अम्रोहामण्डलम्	Jyotiba Phule Nagar
मण्डीमण्डलम्	Mandi (district)
फर्रुकाबादमण्डलम्	Farrukhabad (district)
मयूर्भंझ् मण्डलम्	Mayurbhanj (district)
पूर्व-इम्फालमण्डलम्	Imphal-Oost
गोन्दियामण्डलम्	Gondiya (district)
जैनतियाहिल्स्	Jaintia Hills
उत्तरत्रिपुरामण्डलम्	Noord-Tripura
शिमलामण्डलम्	Shimla (district in Himachal Pradesh)
खीरी	Lakhimpur Kheri (stad)
लोणावळा	Lonavala
गोण्डामण्डलम्	Gonda (district)
बिजनौरमण्डलम्	Bijnor (district)
उन्नावमण्डलम्	Unnao (district)
झान्सीमण्डलम्	Jhansi (district)
पूर्व खासिहिल्स्	East Khasi Hills
पिथौरागढमण्डलम्	Pithoragarh (district)
सन्तकबीरनगरमण्डलम्	Sant Kabir Nagar
श्रावस्तीमण्डलम्	Shravasti (district)
वलसाडमण्डलम्	Valsad (district)
फतेहपुरमण्डलम्	Fatehpur (district)
कौशाम्बीमण्डलम्	Kaushambi (district)
फिरोझाबादमण्डलम्	Firozabad (district)
गजपति मण्डलम्	Gajapati (district)
कोरापुट् मण्डलम्	Koraput (district)
ऐजोलमण्डलम्	Aizawl (district)
ललितपुरमण्डलम्	Lalitpur (district in India)
कोलासिबमण्डलम्	Kolasib (district)
लुङ्गलैमण्डलम्	Lunglei (district)
पश्चिमत्रिपुरामण्डलम्	West-Tripura
बलरामपुरमण्डलम्	Balrampur (district)
ढॆण्कनाल् मण्डलम्	Dhenkanal (district)
लातूरमण्डलम्	Latur (district)
पचमढी	Pachmarhi Cantonment
मूडबिद्रि	Mudbidri
मोहाली	Ajitgarh
शृङ्गेरी	Sringeri
२०१३	Lijst van personen overleden in 2013
भारविः	Bharavi
चम्पायमण्डलम्	Champhai (district)
करञ्जवृक्षः	Pongamia pinnata
घटोत्कचः	Gathotkaca
वर्गः:हिन्दुधर्मः	Categorie:Hindoeïsme
छिन्दवाडामण्डलम्	Chhindwara (district)
तिलभेदः	Blauwmaanzaad
ओडिशी	Odissi
जमखण्डि	Jamkhandi
कासगञ्ज	Kasganj
गुरु तेगबहादुर	Goeroe Tegh Bahadur
रायगडमण्डलम्(महाराष्ट्रम्)	Raigad
महेसाणामण्डलम्	Mehsana (district)
हमीरपुरमण्डलम्, उत्तरप्रदेशः	Hamirpur (district in Uttar Pradesh)
उत्तरदिनाजपुर-मण्डलम्	Uttar Dinajpur
चक्रासन्दक्रीडा	Wheelen
खटक् मण्डलम्	Cuttack (district)
बालेश्वर् मण्डलम्	Baleshwar (district)
देवासमण्डलम्	Dewas (district)
व्यासपूर्णिमा	Guru Purnima
त्यागराजः	Tyagaraja
चिल्का सरोवरम्	Chilkameer
मालदामण्डलम्	Malda (district)
दक्षिणदेहलीमण्डलम्	Zuid-Delhi
पश्चिम खासिहिल्स्	West Khasi Hills
जोवाइ	Jawai
शाहजहानपुरम्	Shahjahanpur (stad)
ग्वालियरमण्डलम्	Gwalior (district)
झाबुआमण्डलम्	Jhabua (district)
सागरमण्डलम्	Sagar (district)
केन्दुझर् मण्डलम्	Kendujhar (district)
खण्डवामण्डलम्	Khandwa (district)
पूर्वगारोहिल्स्-मण्डलम्	East Garo Hills
शहडोलमण्डलम्	Shahdol (district)
पौडीगढवालमण्डलम्	Pauri Garhwal
कान्धमाल् मण्डलम्	Kandhamal (district)
हमीररपुरमण्डलम्, हिमाचलप्रदेशः	Hamirpur (district in Himachal Pradesh)
सेरसिपमण्डलम्	Serchhip (district)
लौङ्गत्लायमण्डलम्	Lawngtlai (district)
धलाइमण्डलम्	Dhalai
रुद्रप्रयागः	Rudra Prayag
हिङ्गोलीमण्डलम्	Hingoli (district)
जाजपुर मण्डलम्	Jajpur (district)
नेकचन्दः	Nek Chand
बीरभूममण्डलम्	Birbhum (district)
बांकुडामण्डलम्	Bankura (district)
जालौनमण्डलम्	Jalaun (district)
चित्रकूटमण्डलम्	Chitrakoot (district)
कानपुरनगरमण्डलम्	Kanpur Nagar
भारतीयविज्ञानपरिषद् (Indian Academy of Science)	Indian Academy of Sciences
राष्ट्रियवैमानिकप्रयोगशाला(NAL)	Nationaal Lucht- en Ruimtevaartlaboratorium
खानापुरम्	Khanapur
बुरहानपुरमण्डलम्	Burhanpur (district)
यानम् मण्डलम्	Yanam (district)
बडवानीमण्डलम्	Barwani (district)
बान्दामण्डलम्	Banda (district)
गोलत्वमापिका	Sferometer
मङ्गलयानम्	Mangalyaan
मत्स्यासनम्	Matsyasana
हरदामण्डलम्	Harda (district)
लुङ्गलै	Lunglei (stad)
पौषमासः	Pausha
धनूराशिः	Boogschutter (astrologie)
दतियामण्डलम्	Datia (district)
सिवनीमण्डलम्	Seoni (district)
लक्ष्मेश्वरम्	Lakshmeshwar
कोळ्ळेगालः	Kollegal
मधुगिरिः	Madhugiri
अशोकनगरमण्डलम्	Ashoknagar (district)
पौडी	Pauri
टिहरी	Tehri
पिथौरागढ	Pithoragarh (stad)
श्रावणमासः	Shraavana
संस्कृतस्य प्रयोजनम्	Imp
देवघर् मण्डलम्	Debagarh (district)
हरिद्वारमण्डलम्	Haridwar (district)
खरगौनमण्डलम्	Khargone (district)
तेलुगुदेशम्-पक्षः	Telugu Desampartij
सवदत्ती	Saundatti-Yellamma
भद्रावती	Bhadravati (Shimoga)
मैनपुरी	Mainpuri (stad)
किन्नौरमण्डलम्	Kinnaur
पाकुरमण्डलम्	Pakur (district)
सुन्दरगर् मण्डलम्	Sundargarh (district)
सीहोरमण्डलम्	Sehore (district)
शिवपुरीमण्डलम्	Shivpuri (district)
धारमण्डलम्	Dhar (district)
अनूपपुरमण्डलम्	Anuppur (district)
नागौर	Nagaur (stad)
रतलाममण्डलम्	Ratlam (district)
केन्द्रपारमण्डलम्	Kendrapara (district)
उनामण्डलम्	Una (district)
गिरिडीहमण्डलम्	Giridih (district)
गढवामण्डलम्	Garhwa (district)
दक्षिण २४ परगणामण्डलम्	Dakshin 24 Parganas
भैरवरागः	Bhairav
पश्चिम-गारो-हिल्स्-मण्डलम्	West Garo Hills
दक्षिण-गारो-हिल्स्-मण्डलम्	South Garo Hills
बारामण्डलम्	Baran (district)
मञ्झानपुरम्	Manjhanpur
पडरौना	Padrauna
मुरैनामण्डलम्	Morena (district)
चित्रकूटधाम (कार्वी)	Chitrakoot Dham
नरसिंहपुरमण्डलम्	Narsinghpur (district)
पन्नामण्डलम्	Panna (district)
मण्डलामण्डलम्	Mandla (district)
भिण्डमण्डलम्	Bhind (district)
नीमचमण्डलम्	Neemuch (district)
नोङ्गस्तोइन्	Nongstoin
अद्वैतवेदान्तः	Advaita Vedanta
क्षिप्रानदी	Shipra
तीर्थहळ्ळी	Tirthahalli
अदलाज् सोपानकूपाः	Adalaj
गदगमण्डलम्	Gadag (district)
भाद्रपदमासः	Bhaadrapada
बौद मण्डलम्	Boudh (district)
चैत्रमासः	Chaitra
मुजफ्फरनगरम्	Muzaffarnagar (district)
नयागर् मण्डलम्	Nayagarh (district)
मुकेशः	Mukesh
दक्षिणपश्चिमदेहलीमण्डलम्	Zuidwest-Delhi
ज्येष्ठमासः	Jyeshtha
नबरंगपुर मण्डलम्	Nabarangpur (district)
डिण्डोरीमण्डलम्	Dindori (district)
तृश्शूरमण्डलम्	Thrissur (district)
टीकमगढमण्डलम्	Tikamgarh (district)
छतरपुरमण्डलम्	Chhatarpur (district)
सीधीमण्डलम्	Sidhi (district)
शाजापुरमण्डलम्	Shajapur (district)
शामली	Shamli
माघमासः	Maagha
नञ्जनगूडु	Nanjangud
दमोहमण्डलम्	Damoh (district)
खलिलाबाद्, भारतम्	Khalilabad
कोलारमण्डलम्	Kolar (district)
वेदान्तः	Vedanta
त्रितालः	Tintal
सि अश्वत्थः	C. Aswath
ब्रह्मरन्ध्रम्	Sahasrara
बान्दा, उत्तरप्रदेशः	Banda (stad in Uttar Pradesh)
साइहा	Saiha (stad)
सतनामण्डलम्	Satna (district)
रायगडामण्डलम् (ओड़िशा)	Rayagada (district)
गुल्बर्गामण्डलम्	Gulbarga (district)
वैशाखमासः	Vaishakha
अलवर	Alwar (stad)
जाती	Muskaatboom
फाल्गुनमासः	Phaalguna
‌सेरसिप	Serchhip (stad)
कारवारम्	Karwar
कोचबिहारमण्डलम्	Cooch Behar (district)
चन्दौली	Chandauli (stad)
चन्दौलीमण्डलम्	Chandauli (district)
चण्डी	Candi
क्रिकेट्क्रीडानियमाः	Wetten van het cricket
तिलः	Sesam
मण्ड्यमण्डलम्	Mandya (district)
लिंकन्	Lincoln (Buenos Aires)
प्रजावाणी (कन्नडदिनपत्रिका)	Prajavani
डा सलिम अलि	Salim Ali
औष्ण्यमालिन्यम्	Thermische vervuiling
वर्गः:महाद्वीपः	Categorie:Continent
पीलीभीतमण्डलम्	Pilibhit (district)
कुलुमण्डलम्	Kullu (district in Himachal Pradesh)
सोलन् मण्डलम्	Solan (district)
जामनगरमण्डलम्	Jamnagar (district)
निष्पावप्रभेदः	Sperzieboon
फलकम्:Solar System	Sjabloon:Navigatie zonnestelsel
विकिपीडिया:लेखशीर्षकः	Wikipedia:Benoemen van een pagina
बिलियर्ड्स्-क्रीडा	Biljart
मैक्रोनीशिया	Micronesië
त्रिकोणासनम्	Trikonasana
कैलाश सत्यार्थी	Kailash Satyarthi
फलकम्:Location map India Kerala	Sjabloon:Positiekaart Kerala
फलकम्:Location map India Punjab	Sjabloon:Positiekaart India Punjab
फलकम्:Location map India West Bengal	Sjabloon:Positiekaart West-Bengalen
बिजापुरम्	Bijapur (stad)
Chanakya	Ramp
मयूरः	Pauwen
वर्गः:देश	Categorie:Land
विकिपीडिया:प्रबंधक	Wikipedia:Moderator
विकिपीडियासम्भाषणम्:प्रबन्धकः	Wikipedia:Aanmelding moderatoren
वर्गः:AutoWikiBrowser	Wikipedia:AutoWikiBrowser
ईजिप्तदेशः	Egypte (land)
फलकम्:Bot	Sjabloon:Bot
केनडा	Canada
वर्गः:निर्वाचित लेख	Categorie:Wikipedia:Etalage-artikelen
वर्गः:युरोपखण्डः	Categorie:Europa
फलकम्:Documentation	Sjabloon:Sjabdoc
वर्गः:Delete	Categorie:Wikipedia:Weg
विकिपीडिया:स्तम्भपञ्चकम्	Wikipedia:Vijf zuilen
विकिपीडिया:उल्लेख्यता	Wikipedia:Relevantie
विकिपीडिया:प्रयोक्तृ-पेटिकाः	Wikipedia:Gebruikersboxen
बुधगुप्तः	Budhagupta
शतावरीसस्यम्	Shatavari
फलकम्:Softredirect	Sjabloon:Softredirect
फलकम्:अपाक्रियताम्	Sjabloon:Nuweg
वर्गः:विकिपीडिया	Categorie:Encyclopedie Wikipedia
विकिपीडिया:General disclaimer	Wikipedia:Vrijwaringsclausule
विकिपीडिया:शैलीपुस्तकम्	Wikipedia:Conventies
फलकम्:Navbox	Sjabloon:Navigatie
मालकानगिरिमण्डलम्	Malkangiri (district)
नरसिंहगुप्तः बालादित्यः	Narasimhagupta
फलकम्:Citation needed	Sjabloon:Bron?
फलकम्:Tnavbar	Sjabloon:Tnavbar
फलकम्:Code	Sjabloon:Code
फलकम्:Sc	Sjabloon:Sc
फलकम्:Clear	Sjabloon:Clearboth
फलकम्:Nowrap	Sjabloon:Nowrap
विकिपीडिया:प्रारम्भिक-विषयाः	Wikipedia:Archief/Wikipedia:Artikelen die elke Wikipedia zou moeten hebben
फलकम्:Wikisource	Sjabloon:Wikisource
फलकम्:Babel	Sjabloon:Babel
फलकम्:Commons	Sjabloon:Commons
फलकम्:Link GA	Sjabloon:Link GA
फलकम्:Reflist	Sjabloon:References
फलकम्:अपूर्णलेखः	Sjabloon:Beginnetje
फलकम्:User az	Sjabloon:Gebruiker az
फलकम्:See also	Sjabloon:Zie ook
फलकम्:User da	Sjabloon:Gebruiker da
फलकम्:User de	Sjabloon:Gebruiker de
फलकम्:User de-1	Sjabloon:Gebruiker de-1
फलकम्:User eu	Sjabloon:Gebruiker eu
फलकम्:User el	Sjabloon:Gebruiker el
फलकम्:User es	Sjabloon:Gebruiker es
फलकम्:User en-3	Sjabloon:Gebruiker en-3
फलकम्:User en-1	Sjabloon:Gebruiker en-1
फलकम्:User en-2	Sjabloon:Gebruiker en-2
फलकम्:User en-4	Sjabloon:Gebruiker en-4
फलकम्:User fi	Sjabloon:Gebruiker fi
फलकम्:User en	Sjabloon:Gebruiker en
फलकम्:User fr-1	Sjabloon:Gebruiker fr-1
फलकम्:User hi-1	Sjabloon:Gebruiker hi-1
फलकम्:User hr	Sjabloon:Gebruiker hr
फलकम्:User hu	Sjabloon:Gebruiker hu
फलकम्:User ja	Sjabloon:Gebruiker ja
फलकम्:User fr	Sjabloon:Gebruiker fr
फलकम्:Mod	Sjabloon:Modulo
फलकम्:User it	Sjabloon:Gebruiker it
फलकम्:User uk	Sjabloon:Gebruiker uk
फलकम्:Infobox football club	Sjabloon:Infobox voetbalclub
फलकम्:स्वागतम्	Sjabloon:Hola
फलकम्:भ्रातृपरियोजनाः	Sjabloon:Hoofdpagina/Projecten
फलकम्:आङ्ग्लमासस्य शीर्षम्	Sjabloon:Navigatie maanden
फलकम्:Edit	Sjabloon:Edit
फलकम्:Cc-by-sa-3.0	Sjabloon:Cc-by-sa-3.0
फलकम्:Wikivar	Sjabloon:Wikivar
फलकम्:अफ्रीकाखण्डः	Sjabloon:Navigatie landen Afrika
फलकम्:Infobox writer	Sjabloon:Infobox auteur
फलकम्:Geographic Location	Sjabloon:Tabel windroos
फलकम्:Infobox musical artist	Sjabloon:Infobox artiest
फलकम्:Infobox football biography	Sjabloon:Infobox voetballer
फलकम्:Infobox magazine	Sjabloon:Infobox tijdschrift
फलकम्:Infobox chess biography	Sjabloon:Infobox schaker
फलकम्:देश	Sjabloon:Infobox land
फलकम्:Infobox software	Sjabloon:Infobox software
फलकम्:Infobox Airline	Sjabloon:Infobox luchtvaartmaatschappij
फलकम्:Wide image	Sjabloon:Panorama
फलकम्:Infobox military conflict	Sjabloon:Infobox militair conflict
फलकम्:Audio	Sjabloon:Audio
फलकम्:Infobox Indian political party	Sjabloon:Infobox politieke partij
फलकम्:Age in years and days	Sjabloon:Leeftijd in jaren en dagen
फलकम्:Nom	Sjabloon:Tabelcel genomineerd
फलकम्:Cleanup	Sjabloon:Wiu
फलकम्:Infobox scientist	Sjabloon:Infobox wetenschapper
फलकम्:Featured article	Sjabloon:Etalage
फलकम्:Infobox monarch	Sjabloon:Infobox monarch
वर्गः:User en-2	Categorie:Wikipedia:Gebruiker en-2
फलकम्:Infobox	Sjabloon:Infobox generiek
फलकम्:User zh	Sjabloon:Gebruiker zh
फलकम्:Cite web	Sjabloon:Citeer web
वर्गः:जीवचरितम्	Categorie:Biografie
फलकम्:Imdb title	Sjabloon:Link IMDb titel
फलकम्:Won	Sjabloon:Tabelcel gewonnen
फलकम्:Coor URL	Sjabloon:MapsServer
फलकम्:विकिकोशः	Sjabloon:Wikt
फलकम्:Infobox music festival	Sjabloon:Infobox muziekfestival
फलकम्:Infobox settlement	Sjabloon:Infobox plaats
फलकम्:User ru	Sjabloon:Gebruiker ru
फलकम्:IPA	Sjabloon:IPA
फलकम्:GFDL	Sjabloon:GFDL
फलकम्:Infobox Officeholder	Sjabloon:Infobox ambtsbekleder
फलकम्:Sisterlinks	Sjabloon:Zusterproject klein
फलकम्:Infobox protected area	Sjabloon:Infobox beschermd gebied
फलकम्:Border	Sjabloon:Border
फलकम्:Infobox book	Sjabloon:Infobox boek
फलकम्:ICD10	Sjabloon:ICD10
फलकम्:Infobox विकिपीडिया	Sjabloon:Infobox website
फलकम्:Coor title dms	Sjabloon:Coor title dms
फलकम्:Infobox anatomy	Sjabloon:Infobox anatomie
फलकम्:प्रलेखनस्य उपपृष्ठम्	Sjabloon:Sjabdoc direct
फलकम्:Infobox number	Sjabloon:Infobox getal
फलकम्:भारतस्य राज्यानि केन्द्रशासितप्रदेशाः च	Sjabloon:Navigatie staten en territoria India
फलकम्:Infobox विश्वपरम्परास्थानानि	Sjabloon:Infobox werelderfgoed
वर्गः:चित्रकला	Categorie:Schilderkunst
फलकम्:Infobox astronaut	Sjabloon:Infobox astronaut
फलकम्:Infobox sport	Sjabloon:Infobox sport
फलकम्:Infobox sportsperson	Sjabloon:Infobox sporter
फलकम्:Infobox building	Sjabloon:Infobox gebouw
फलकम्:Myspace	Sjabloon:Link myspace.com
फलकम्:Infobox artist	Sjabloon:Infobox kunstenaar
फलकम्:Infobox album	Sjabloon:Infobox muziekalbum
वर्गः:छत्तीसगढ़स्य मण्डलानि	Categorie:District van Chhattisgarh
वर्गः:गुजरातराज्यस्य मण्डलानि	Categorie:District van Gujarat
फलकम्:Emergency-bot-shutoff	Sjabloon:Noodrem
फलकम्:IMDb name	Sjabloon:Link IMDb naam
वर्गः:बाङ्गलासाहित्यम्	Categorie:Bengaalse literatuur
फलकम्:Di-no source no license	Sjabloon:Sjabloon verwijderd
फलकम्:Infobox former country	Sjabloon:Infobox historisch land
फलकम्:Infobox tennis biography	Sjabloon:Infobox tennisspeler
फलकम्:Age in days	Sjabloon:Aantal dagen
वर्गः:भारतस्य राष्ट्रपतयः	Categorie:President van India
फलकम्:Infobox waterfall	Sjabloon:Infobox waterval
फलकम्:Gregorian serial date	Sjabloon:Gregorian serial date
उपनिषदः	Upanishad
फलकम्:Multicol-break	Sjabloon:NieuweKolom
फलकम्:PDFlink	Sjabloon:Pdf
फलकम्:Infobox game	Sjabloon:Infobox spel
फलकम्:Disambiguation	Sjabloon:Dp
फलकम्:भारतस्य प्रधानमन्त्रिणः	Sjabloon:Navigatie premiers India
फलकम्:Infobox film	Sjabloon:Infobox film
फलकम्:भारतस्य राष्ट्रपतयः	Sjabloon:Navigatie presidenten India
फलकम्:User Sandbox	Sjabloon:Hoofding gebruikerskladblok
फलकम्:Infobox philosopher	Sjabloon:Infobox filosoof
फलकम्:Show	Sjabloon:Uitklappen
फलकम्:Infobox organization	Sjabloon:Infobox organisatie
फलकम्:Infobox U.S. state	Sjabloon:Infobox staat Verenigde Staten
वर्गः:वास्तुशास्त्रम्	Categorie:Architectuur
फलकम्:GSE	Sjabloon:Link Grote Sovjetencyclopedie
वर्गः:मध्यप्रदेशस्य मण्डलानि	Categorie:District van Madhya Pradesh
वर्गः:पञ्जाबराज्यस्य मण्डलानि	Categorie:District van Punjab
फलकम्:HinduMythology	Sjabloon:Navigatie hindoeïstische mythologie
फलकम्:व्यक्तिः	Sjabloon:Infobox persoon
वर्गः:केरलराज्यम्	Categorie:Kerala
फलकम्:Coord	Sjabloon:Coördinaten
फलकम्:Dmoz	Sjabloon:Link DMOZ
वर्गः:User sa	Categorie:Wikipedia:Gebruiker sa
वर्गः:User sa-2	Categorie:Wikipedia:Gebruiker sa-2
वर्गः:लिपयः	Categorie:Schriftsysteem
वर्गः:User en-3	Categorie:Wikipedia:Gebruiker en-3
वर्गः:User en-N	Categorie:Wikipedia:Gebruiker en-M
पोरबन्दर	Porbandar (stad)
फलकम्:Beijing	Sjabloon:Navigatie stadsprovincie Peking
फलकम्:Infobox disease	Sjabloon:Infobox aandoening
फलकम्:Cite encyclopedia	Sjabloon:Citeer encyclopedie
फलकम्:Weather box	Sjabloon:Tabel weergemiddelden
वर्गः:User kn	Categorie:Wikipedia:Gebruiker kn
वर्गः:User kn-1	Categorie:Wikipedia:Gebruiker kn-1
फलकम्:Infobox currency	Sjabloon:Infobox munteenheid
वर्गः:क्रिकेट्-क्रीडालवः	Categorie:Cricket
व्यजनम्	Ventilator
फलकम्:Zh icon	Sjabloon:Zh
फलकम्:Infobox Government agency	Sjabloon:Infobox overheidsinstelling
फलकम्:En	Sjabloon:En
फलकम्:Infobox river	Sjabloon:Infobox rivier
फलकम्:Fr	Sjabloon:Fr
