ཨ་ཧྥེ་རི་ཁ།	Afrika
ཁོ་ལོ་ཉི་ཡ། (མའི་ཀོ་རོ་ནེ་ཤི་ཡ།)	Kolonia (Micronesia)
ཡན་ཨན།	Yan'an
ང་ཕོད་ངག་དབང་འཇིགས་མེད་	Ngabo Ngawang Jigme
ཉིང་ཁྲི་ས་རྫོང་།	Nyingtri (arrondissement)
བོད་ཀྱི་རྒྱལ་རབས་	Geschiedenis van Tibet
༥༦ (གྲངས་ཀ།)	56 (getal)
འཛུལ་སྒོ།	Mangat
༨༩ (གྲངས་ཀ།)	89 (getal)
སྨར་ཁམས་རྫོང་།	Markham (arrondissement)
མཁར་སྔོན་གྲོང་ཁྱེར།	Hohhot
དཀར་ཆག་གི་ཨང་གྲངས།	Getallen en getalverzamelingen
༧༦ (གྲངས་ཀ།)	76 (getal)
༢༩ (གྲངས་ཀ།)	29 (getal)
ཆོས་རྒྱམ་དྲུང་པ་རིན་པོ་ཆེ།	Chögyam Trungpa
དན། (གསུང་རབ།)	Dan (persoon)
དར་མ་འུ་དུམ་བཙན།	Langdarma
མཁྱེན་རབ་ནོར་བུ།	Khyenrab Norbu
ཀས་ཏར་མན།	Casterman
སིམ།	Sim (acteur)
མངའ་རིས་ས་ཁུལ།	Ngari
རི་བོང་།	Tibetaanse haas
ཐེ་རཱ།	Terach
༧༡ (གྲངས་ཀ།)	71 (getal)
༢༨ (གྲངས་ཀ།)	28 (getal)
ཐུའུ་ཅ་མི།	Tujia (volk)
བཀའ་འགྱུར།	Kangyur
༥༩ (གྲངས་ཀ།)	59 (getal)
ཀོ་རི་ཡའི་ནང་ཆོས།	Boeddhisme in Korea
༦༢ (གྲངས་ཀ།)	62 (getal)
༩༥ (གྲངས་ཀ།)	95 (getal)
༄༅།། བར་དོ་ཐོས་གྲོལ།	Tibetaans dodenboek
ལོའི།	Loei (stad)
སི་ནོ་པེ། (ཏུར་ཀི།)	Sinop (stad)
འཇོལ་མོ།	Amerikaanse boslijster
༣༨ (གྲངས་ཀ།)	38 (getal)
༧༥ (གྲངས་ཀ།)	75 (getal)
ཡུལ་ཤུལ་བོད་རིགས་རང་སྐྱོང་ཁུལ།	Yushu (autonome Tibetaanse prefectuur)
ས་ཡི་སྙིང་པོ།	Ksitigarbha
ལག་སྒག	Handrem
ཕུན་ཚོགས་དབང་རྒྱལ་	Püntsog Wangyal
ཕ་སྤྲེལ་རྒན་བྱང་ཆུབ་སེམས་པ།	Aapafstammelingen van Zodang Gongpori
མལ་གྲོ་གུང་དཀར་རྫོང་།	Maldro Gongkar
གཉའ་ཁྲི་བཙན་པོ་	Nyatri Tsenpo
ཐ་བུ་ལོན།	Zebulon
ལྷ་མོ་ཟློས་གར་གྱི་རིགས་ཞིག	Lhamo
རིན་ཆེན་སྡེ་	Hartsoetra
ཆིག་རྡང་།	Rekstok
རུ་བེན། (གསུང་རབ།)	Ruben (zoon van Jakob)
༤༥ (གྲངས་ཀ།)	45 (getal)
ནག་ཉེས།	Schuldgevoel
ཨུ་བཱོན་ར་ཊི་ཅ་ཐ་ནི་ཞིང་ཆེན།	Changwat Ubon Ratchathani
ན་ཁཱོན་ར་ཊི་ཅ་སི་མ།	Nakhon Ratchasima (stad)
མེ་གསོད་ཆུ་སྒོ།	Brandkraan
ཅུམ་ཕཱོན།	Chumphon (stad)
ཕེ་ཊི་ཅ་བུ་རི།	Phetchaburi (stad)
བོད་ཀྱི་ལོ་ཐོ།	Tibetaanse kalender
༦༥ (གྲངས་ཀ།)	65 (getal)
ཨཱལ་གོ་ན། (ཡོ་བ།)	Algona (Iowa)
ས་སྐྱ་པ།	Sakya (boeddhisme)
འཕྱི་བ།	Bobakmarmot
ཡི་ས་གར།	Issachar
སྤྲུལ་སྐུ།	Tulku
ཏ་ཙུའུ་རྡོ་བརྐོས།	Dazu
ཧ་ཊི་ཡའི།	Hat Yai (stad)
གནམ་མཚོ་ཕྱུག་མོ།	Namtso
ཀུབ་དཀར།	Waspompoen
Chukha District	Chukha (district)
བཀྲ་ཤིས་སྒང་གི་ས་ཁོངས།	Trashigang (district)
རིན་སྤུངས་རྫོང་།	Rinpung (district)
༦༨ (གྲངས་ཀ།)	68 (getal)
གྲགས་པ་རྒྱལ་མཚན།	Dragpa Gyaltsen (Sakya)
ཁེ་ར་བི་ཧན།	Caraïben
འཀོར་ལོ།	Dharmachakra
རྭ་སྒྲེང་དགོན།	Reting
ཨི་སཱག	Isaak (aartsvader)
པུའུ་དབྱི་མི།	Buyi
གུང་རི་གུང་བཙན།	Gungri Gungtsen
༩༧ (གྲངས་ཀ།)	97 (getal)
མ་ཆོ་པེ་ཆོ།	Machu Picchu
སྤོས་ཤེལ་མདོག་གི	Amber (kleur)
ཨེ་ནོ་ཟི། (གསུང་རབ།)	Enos
༩༤ (གྲངས་ཀ།)	94 (getal)
ཆུ་གསུམ་རྫོང་།	Chusum (arrondissement)
༥༥ (གྲངས་ཀ།)	55 (getal)
ལྕང་བྱིའུ་མཐེ་བོང་།	Trochilus
ཏའི་པརེའི་པ། (རི་མོ་འབྲི་མཁའན།)	Derib
༩༡ (གྲངས་ཀ།)	91 (getal)
རྡོ་རྗེ།	Vajra
ཨར་ཊེ་སི་ཡ། (མེག་སི་ཀོ་གསར་མ།)	Artesia (New Mexico)
༨༠ (གྲངས་ཀ།)	80 (getal)
༢༡ (གྲངས་ཀ།)	21 (getal)
༢༢ (གྲངས་ཀ།)	22 (getal)
༧༠ (གྲངས་ཀ།)	70 (getal)
༥༠ (གྲངས་ཀ།)	50 (getal)
༤༡ (གྲངས་ཀ།)	41 (getal)
༣༤ (གྲངས་ཀ།)	34 (getal)
༣༣ (གྲངས་ཀ།)	33 (getal)
༤༧ (གྲངས་ཀ།)	47 (getal)
༣༡ (གྲངས་ཀ།)	31 (getal)
༣༢ (གྲངས་ཀ།)	32 (getal)
༤༤ (གྲངས་ཀ།)	44 (getal)
༤༦ (གྲངས་ཀ།)	46 (getal)
༤༩ (གྲངས་ཀ།)	49 (getal)
༤༨ (གྲངས་ཀ།)	48 (getal)
༣༧ (གྲངས་ཀ།)	37 (getal)
༣༩ (གྲངས་ཀ།)	39 (getal)
༣༦ (གྲངས་ཀ།)	36 (getal)
༥༣ (གྲངས་ཀ།)	53 (getal)
༨༡ (གྲངས་ཀ།)	81 (getal)
༦༦ (གྲངས་ཀ།)	66 (getal)
༦༣ (གྲངས་ཀ།)	63 (getal)
༥༢ (གྲངས་ཀ།)	52 (getal)
༦༩ (གྲངས་ཀ།)	69 (getal)
༧༣ (གྲངས་ཀ།)	73 (getal)
༥༧ (གྲངས་ཀ།)	57 (getal)
༧༤ (གྲངས་ཀ།)	74 (getal)
༧༩ (གྲངས་ཀ།)	79 (getal)
༦༧ (གྲངས་ཀ།)	67 (getal)
༧༧ (གྲངས་ཀ།)	77 (getal)
༨༣ (གྲངས་ཀ།)	83 (getal)
༨༢ (གྲངས་ཀ།)	82 (getal)
༨༦ (གྲངས་ཀ།)	86 (getal)
༧༨ (གྲངས་ཀ།)	78 (getal)
༩༨ (གྲངས་ཀ།)	98 (getal)
ལི་ཁུའེ།	Li Kui
རི་བོ་པོ་ཏ་ལ།	Putuo Shan
སྤྲེའུ་ས་ལག	Hoelmans
ཨཤ་ཀེ་ན། (གསུང་རབ།)	Askenaz
བརྒྱངས་དཀྲོལ།	Guzheng
པི་ཝང་།	Erhu
ར་རྒོད།	Himalayathargeit
ཤྭ་བ་མཆུ་དཀར།	Witliphert
འདུན་པ་ནག་པོས།	Noir Désir
རྩི་རང་གི་ས་ཁོངས།	Tsirang
དབང་འདུས་ཕོ་བྲང་གི་ས་ཁོངས།	Wangdue Phodrang (district)
གསར་སྦང་གི་ས་ཁོངས།	Sarpang (district)
སྟེང་ཆེན་རྫོང་།	Dengchen
བཙུན་པ།	Monnik
ཧྲེ་མི།	She (volk)
ཇོ་ཁང་།	Jokhang
ཉི་ཧུང་གི་ནང་ཆོས།	Boeddhisme in Japan
ཀ་སཏ་ཕི་ཡོར།	Bianca Castafiore
ཨཱ་སམ་སྤྲེལ།	Assammakaak
མའེ་ཧོང་སཱོན།	Mae Hong Son (stad)
༄༅།། ཏིན་ཏིན་གྱི་དཔའ་རྩལ།	De avonturen van Kuifje
ས་དགའ་རྫོང་།	Saga (arrondissement)
སྣ་དཀར་རྩེ་རྫོང་།	Nakartse
འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ།	Tara (boeddhisme)
ཀརྨ་པ་	Karmapa
ཏུང་ཞང་མི།	Dongxiang
ལ་ཧུའུ་མི།	Lahu
ཨ་ཝེ་རོང་གཙང་པོ།	Aveyron (rivier)
བྱིའུ་སེར།	Mangrovezanger
མི་འཁྲུགས་པ།	Akshobhya
མཚོ་གཉིས་དོན་གཅོད་ཁྲུའུ།	Tshonyis Dontso Chu
འདམ་གཞུང་རྫོང་།	Damshung
༦༡ (གྲངས་ཀ།)	61 (getal)
ན་ཁཱོན་ཕ་ནོམ།	Nakhon Phanom (stad)
ལྷོ་ཁ་ས་ཁུལ།	Lhokha
ཆབ་མདོ་རྫོང་།	Chamdo (arrondissement)
ཕོ་ལོ་ནེའུ་སི།	Polonius
པ་སྣམ་རྫོང་།	Panam
ལྡུམ་སྒོང་ཁུ་བ།	Tomatensap
སོང་ཁ་ལ།	Songkhla (stad)
དཔལ་མགོན་རྫོང་།	Palgon
དཔལ་འབར་རྫོང་།	Pälbar (arrondissement)
པར་ཐི་མེ།	Bartimeüs
དཔའ་ཤོད་རྫོང་།	Pasho
ཧྲིན་ཐོ།	Shintoïsme
༤༢ (གྲངས་ཀ།)	42 (getal)
བོན།	Bön
ཨུ་ཌོན་ཐ་ནི།	Udon Thani (stad)
སེན་ཏེ་ཨ་ཧྥེ་རི་ཁེ།	Saint-Affrique
སྤྱི་ལེ།	Kilometer
ཁྲི་པི་གཡུལ་འགྱེད།	Slag bij de Rode Muur
ཧ་ཝ།	Eva (persoon)
དུས་འཁོར།	Kalachakra
གཡོག་མོ།	Bediende
ཨ་ལའེ་ཞི་ཡ།	Alesia
ཏའེ་མི།	Dai (volk)
མོན་པ།	Monpa
སུ་ར་ཊི་ཐ་ནི།	Surat Thani (stad)
ཆའང་མི།	Qiang
གེ་སར་རྒྱལ་པོ།	Epos van koning Gesar
དབའ་མི།	Wa (volk)
པུ་ཁེཊ་གྲོང་ཁྱེར​།	Phuket (stad)
ཁེ་ནཱན་ནི་ཨེ་ནོ་ཟི་ཞེས་བྱ་བའི་བུ།	Kenan
མེ་རི་ན་མི།	Merina (volk)
Wylie	Wylie (romanisatie)
ཡོ་གའི་སྒོམ་སྒྲུབ་ཉམས་ལེན་སློབ་གྲྭ།	Yogacara
རྒྱ་ནག་གི་ནང་ཆོས།	Boeddhisme in China
རྙིང་མ་པ།	Nyingma
རྫོགས་ཆེན།	Dzogchen
སྐུ་སྲུང་།	Lijfwacht
གད། (གསུང་རབ།)	Gad
ཧོར་མི།	Tu (volk)
རྒོ་བ།	Tibetaanse gazelle
སྤྲེའུ་ཨཱ་ཧ།	Tibetaanse makaak
སྨན་བླ།	Bhaisajyaguru
མདོག་འགྱུར་རྩངས་པ།	Polychrotidae
སླང་གཟུགས་སྒག་ཆས།	Trommelrem
ཆེང་རཱེ།	Chiang Rai (stad)
ཧྲུའེ་མི།	Shui
ཀོ་ལའོ་མི།	Gelao
ལི་སུའུ་མི།	Lisu
འབྲི་རུ་རྫོང་།	Driru
ཕི་ཊི་ཙ་ནུ་ལོཀ།	Phitsanulok (stad)
ཀུན་ཏུ་བཟང་པོ།	Samantabhadra
མཚོ་ནུབ་སོག་རིགས་དང་བོད་རིགས་རང་སྐྱོང་ཁུལ་	Autonome Mongoolse en Tibetaanse Prefectuur Haixi
ཉག་ཆུ་	Yalong (rivier)
ཕུ་འུ་སྨི་མི།	Pumi (volk)
བཀྲ་ཤིས་ལྷུན་པོ་དགོན།	Tashilhunpo
བཙན་པོ་རིམ་བྱོན་གྱི་མཚན་བྱང་།	Lijst van Tibetaanse heersers
ཐོ་ཐོ་རི་གཉན་བཙན།	Totori Nyantsen
འདྲེ་ཚེར་མ།	Lycium
སྤོ་མེས་རྫོང་།	Pome
༥༡ (གྲངས་ཀ།)	51 (getal)
འབར་ཁང་།	Verbrandingskamer (gasturbine)
རིན་པོ་ཆེ།	Rinpoche
རྒྱ་རྒོ་ར།	Rode goral
མ་ཧཱ་གཱ་ལ།	Mahakala
བོད་ཀྱི་ཟ་ཆ།	Tibetaanse keuken
མཚུར་བུ་དགོན།	Tsurpu
ཡཱ་རིད། (གསུང་རབ།)	Jered
དགའ་ལྡན་དགོན།	Ganden
མཱུན་སི། (ཨིན་ཌི་ཡཱ་ན།)	Muncie (Indiana)
རྒྱལ་རྩེ་རྫོང་།	Gyantse (arrondissement)
ཁང་དམར་རྫོང་།	Kangma
ཕུད། (གསུང་རབ།)	Put (Bijbel)
དམག་འཐབ་གྲུ་གཟིངས།	Zeeslag (spel)
སྤྱི་འཁོར་སྒུག་ཁང་།	Bushalte
བུན་ཅི་དང་ཇུ་དི།	Jan Klaassen (pop)
སྨན་གླིང་རྫོང་།	Mainling
ཕྱུ་པ།	Chuba
ས་ཀྱ་པཎ་ཌི་ཏ།	Sakya Pandita
ཇི་ཡོ་ཝ་ནི་བ་ཊི་སི་ཊ་པི་ཌོ་ནི།	Giambattista Pittoni
མ་སྐྱེས་དགྲ།	Yudhishtira
ཇ་སྲུབ་མ།	Boterthee
ཅའི་ཡ་ཕུམ།	Chaiyaphum (stad)
བོད་རྒྱལ་ཁབ་ཆེན་པོའི་རྒྱལ་གླུ།	Gyallu
སྤང་།	Grasland
སྤུ་ཧྲེང་རྫོང་།	Burang (arrondissement)
ཆབ་མདོ་ས་ཁུལ།	Chamdo (prefectuur)
ན་ཁཱོན་སི་ཐམ་མ་ར་ཊི།	Nakhon Si Thammarat (stad)
མཚོ་ལྷོ་བོད་རིགས་རང་སྐྱོང་ཁུལ།	Hainan (autonome Tibetaanse prefectuur)
སྟོད་ལུང་བདེ་ཆེན་རྫོང༌།	Tölung Dechen
ན་ཁཱོན་ས་ཝན།	Nakhon Sawan (stad)
ར་ནོང་།	Ranong (stad)
ལ་ཇུན་ཏ།	La Junta
རྔ་བ་བོད་རིགས་ཆ་བ༹ང་རིགས་རང་སྐྱོང་ཁུལ་	Autonome Tibetaanse & Qiang Prefectuur Ngawa
ཨཱལ་པེ་ན། (མི་ཅི་གྷན།)	Alpena (Michigan)
ནག་ཆུ་ས་ཁུལ།	Nagchu (prefectuur)
དཀར་ལྷོ་བོད་རིགས་རང་སྐྱོང་ཁུལ་	Autonome Tibetaanse Prefectuur Gannan
ཉིང་ཁྲི་ས་ཁུལ	Nyingtri (prefectuur)
ལམ་པང་།	Lampang (stad)
ས་ཀཱོན་ན་ཁཱོན།	Sakhon Nakhon (stad)
སྟག་རྩེ་རྫོང་།	Tagtse
ནཱན་གྲོང་ཁྱེར།	Nan (stad)
རེ་ཡོང་།	Rayong (stad)
ཅཱན་ཐ་བུ་རི།	Chantaburi (stad)
མུཀ་ད་ཧཱན།	Mukdahan (stad)
པ་ཊ་ནི།	Pattani (stad)
ཡུལ་ཤུལ་རྫོང།	Yushu (arrondissement)
རི་བོ་ཆེ་རྫོང་།	Riwoche (arrondissement)
སོག་རྫོང་།	Sog (arrondissement)
ཁྲིན་ཀོན་ཆུས།	Chengguan (Lhasa)
དིང་རི་རྫོང་།	Tingri (arrondissement)
ལྷ་རི་རྫོང་།	Lhari
ཤན་རྩ་རྫོང་།	Shantsa
འཇོ་མདའ་རྫོང་།	Joda
ནག་ཆུ་རྫོང་།	Nagchu (arrondissement)
ལྷོ་རོང་རྫོང་།	Lhorong
ངམ་རིང་རྫོང་།	Ngamring
གཉན་རོང་རྫོང་།	Nyanrong
སྦྲ་ཆེན་རྫོང་།	Brachen
ནོང་ཁའི།	Nong Khai (stad)
ཉི་མ་རྫོང་།	Nyima
གོ་འཇོ་རྫོང་།	Gojo (arrondissement)
གམ་པ་རྫོང་།	Gampa
རྣམ་གླིང་རྫོང་།	Namling
སྒར་རྫོང་།	Gar (arrondissement)
ཀོང་པོ་རྒྱ་མདའ་རྫོང་།	Kongpo Gyada
རུ་ཐོག་རྫོང་།	Ruthog (arrondissement)
གཉའ་ལམ་རྫོང་།	Nyalam
གྲོ་མོ་རྫོང༌།	Yatung (arrondissement)
མེ་ཏོག་རྫོང་།	Metog
གཱ་ཡ་པོ་མི།	Kayapo
སྟག་རི་གཉན་གཟིགས།	Takri Nyenzig
ཤར་ལི་ཨེཕ་དོ།	Charlie Hebdo
མཚོ་ཁྱི།	Zeeberen
ཞི་པོ་མི།	Xibe
བོད་པའི་དགོན་སྡེའི་ཐོ།	Lijst van Tibetaanse kloosters
ཀྲོའུ་ཝུའུ་ཝང་།	Zhou Wuwang
ཨ་ཀོའོ་འར་སྐད་ཡིག་སློབ་གྲྭ།	Taalinstituut Accord
ཐཱན༦༠	Buckminsterfullereen
ཆགས་སྦྱོར་དང་ཁྲིམས།	Zedendelict
རྒྱལ་མོ་རྔུལ་ཆུ	Dadu
ཇོ་མོ་ལྷ་རི།	Jomolhari
ཝ་ཡང་ཟློས་གར་ཁང་།	Wajang
ཆོས་འཁོར་གླིང་དགོན།	Chokorgyel
སྟོང་ཉིད་	Leegte
མཚོ་སམད་རྫོང་།	Tshoma
མཚོ་སྣ་རྫོང་།	Tshona
ཚལ་ཐོ།	Lijst van groenten
སྲུབ་གདུབ།	Zuigerveer
མཚོ་ཆེན་རྫོང་།	Tshochen
ཨོ་པེད། (གསུང་རབ།)	Obed
ཀུ་ཤ། (གསུང་རབ།)	Kus (Hebreeuwse Bijbel)
རྩམ་པ།	Tsampa
ཕུལ་ཅི་ནེལ་ལ།	Pulcinella (personage)
གོ་མེར། (གསུང་རབ།)	Gomer (Hebreeuwse Bijbel)
ལོ་བདུན་རིང་གི་བོད།	Zeven jaar in Tibet
ཌ་མ་རུ།	Damaru (trommel)
ནཱ་ཧོར།	Nahor
སེ་རུག	Serug
སྒྲ་སྙུང་ཆས།	Knaldemper (verbrandingsmotor)
ཆུ་འབྲུམ།	Knolcyperus
དགེ་བཤེས།	Geshe
ཏུའེ་ལེན​།	Duilian
ཨེ་ལི་ཨེ་ཟེ།	Eliëzer
རྣོ་སོག​	Beugelzaag
འོད་ཟེར་	Woeser
སྐྱིད་གྲོང་རྫོང་།	Gyirong (arrondissement)
སྡེ་དགེ	Derge (arrondissement)
ལྷ་རྩེ་རྫོང་།	Lhatse
ནང་ཆེན།	Nangchen
གཞིས་ཀ་རྩེ་ས་ཁུལ།	Shigatse (prefectuur)
མོ་ནད་ཚན་ཁག་གི་མཁས་པ།	Gynaecologie
གདིང་སྐྱེས་རྫོང་།	Dinggye
མར་མེ་མཛད།	Dipankara
བོད་ཀྱི་རྩོམ་རིག	Tibetaanse literatuur
རྡོར་རྗེ་བྲག་དགོན།	Dorje Drag
རུའེ།	Ra (god)
གཡེར་པ་དགོན།	Yerpa
སྒྲ་སྙན།	Dramyen
འབྲི་གུང་དགོན།	Drigung (klooster)
རྫོང་ཆེན་དགོན།	Dzogchen (klooster)
མཛོ།	Dzo
གོང་དཀར་རྫོང་།	Gongkar (arrondissement)
ཁྲུར་སི་ཐན་དང་ཨེ་སོལ་རྡེ། (ཝ་རྒི་ནར།)	Tristan und Isolde (opera)
བོད་ཀྱི་ལོ་གསར།	Losar
རྡོ་རྗེ་འཇིགས་བྱེད།	Yamantaka
རྒྱ་ཚ་རྫོང་།	Gyatsa
ལྷོ་བྲག་རྫོང་།	Lhodrag
ས་སྐྱ་རྫོང་།	Sakya (arrondissement)
འཕྱོངས་རྒྱས་རྫོང་།	Chonggye
དགེ་རྒྱས་རྫོང་།	Gegye
སྣེ་གདོང་རྫོང་།	Nedong (arrondissement)
སྣང་རྫོང་།	Nang (arrondissement)
ཟངས་རི་རྫོང་།	Sangri (arrondissement)
བཞད་མཐོང་སྨོན་རྫོང་།	Shathong Mon
ར་ལུང་དགོན།	Ralung
ས་ཊུན།	Satun (stad)
པ་ར་ཅིན་བུ་རི།	Prachinburi (stad)
ཨ་བྲ་མཆུ་ནག	Zwartlipfluithaas
མིས་རཱ་ཡིམ།	Mitsrajim
ཁྲི་སྙན་ས་ལེ།	Gorals
སློབ་དཔོན་ཐུ་མི་སམ་བྷོ་ཊ།	Thonmi Sambhota
ཧ་ཇི་མེ་ཏ་ན་ཕེ།	Hajime Tanabe
Category:འཇར་མན།	Categorie:Duitsland
Category:ཨི་ཏ་ལི།	Categorie:Italië
Category:ཨ་མེ་རི་ཁ་རྒྱལ་ཕྲན་མཉམ་འབྲེལ་རྒྱལ་ཁབ།	Categorie:Verenigde Staten
Category:ཨུ་རུ་སུ།	Categorie:Rusland
Category:ཁ་ན་ཌ།	Categorie:Canada
Category:དབྱིན་ཇི་མཉམ་འབྲེལ།	Categorie:Verenigd Koninkrijk
Category:ཞི་པན་ཡ།	Categorie:Spanje
Category:རྒྱ་ནག	Categorie:China
Category:རི་པིན།	Categorie:Japan
Category:ཨོ་སེ་ཐེ་ལི་ཡ།	Categorie:Australië
Category:མེག་སི་ཀོ།	Categorie:Mexico
Category:རྒྱ་གར།	Categorie:India
Category:སའུ་དི་ཨ་ར་པི་ཡ།	Categorie:Saoedi-Arabië
Category:ཨི་སི་ར་ཨེལ།	Categorie:Israël
Category:ཝ་ཏི་ཀན།	Categorie:Vaticaanstad
Category:ལྷོ་ཨ་ཧྥེ་རི་ཁ།	Categorie:Zuid-Afrika
Category:ཨའི་ཅི།	Categorie:Egypte
Category:ཡི་ལང་།	Categorie:Iran
Category:ནིའུ་ཛི་ལེན་ཌི།	Categorie:Nieuw-Zeeland
Category:ཨར་ཇེན་ཊི་ན།	Categorie:Argentinië
ཧྥེ་ཚི་ལོ་དབྱི་གཙང་པོ།	Fitzroy (rivier in West-Australië)
བསམ་སྡིང་དགོན།	Samding
ཐོ་ཆེན།	Klopper (houten hamer)
དཔལ་ལྡན་ལྷ་མོ།	Pälden Lhamo
ཀ་ཐོག་དགོན།	Kathog
བསམ་ཡས་དགོན།	Samye
Category:ཨ་ཧྥུའུ་རྒན་སི་ཐན།	Categorie:Afghanistan
Category:ཨཱལ་ཇི་རི་ཡ།	Categorie:Algerije
Category:ཨ་སུ་ཊ་རི་ཡ།	Categorie:Oostenrijk
Category:བྷང་ལ་རྡེ་ཤུ།	Categorie:Bangladesh
Category:ཀོང་གོ་མི་དམངས་དམངས་གཙོ།	Categorie:Congo-Kinshasa
Category:ཨི་ཐི་ཨོ་པི་ཡ།	Categorie:Ethiopië
Category:ཨིན་རྡུ་ནི་ཤིས་ཡ།	Categorie:Indonesië
Category:ཧོ་ལན།	Categorie:Nederland
Category:ནི་ཇི་རི་ཡ།	Categorie:Nigeria
Category:པ་ཀི་སི་སྟན།	Categorie:Pakistan
Category:ཕོ་ལན།	Categorie:Polen
Category:པོ་ཅུ་གྷལ།	Categorie:Portugal
Category:ལྷོ་ཀོ་རི་ཡ།	Categorie:Zuid-Korea
Category:སུད་སི།	Categorie:Zwitserland
Category:ཏན་ཛ་ནི་ཡ།	Categorie:Tanzania
Category:ཐའེ་གོ	Categorie:Thailand
Category:ཨུཀ་རཡི་ནི།	Categorie:Oekraïne
Category:ཝི་ཏི་ནམ།	Categorie:Vietnam
Category:འུ་འཐུང་སྲོག་ཆགས།	Categorie:Zoogdier
Category:བྱ།	Categorie:Vogel
Category:དངོས་ཁམས་རིག་པ།	Categorie:Natuurkunde
Category:རང་བྱུང་གི་ཚན་རིག	Categorie:Natuurwetenschappen
Category:སྐྱེས་དངོས་རིག་པ།	Categorie:Biologie
Category:རྫས་འགྱུར་རིག་པ།	Categorie:Scheikunde
Category:ལོ་རྒྱུས།	Categorie:Geschiedenis
Category:ས་ཁམས།	Categorie:Geografie
Category:ཆོས་ལུགས།	Categorie:Religie
Category:ལུས་རྩལ་སྐོར།	Categorie:Sport
Category:ཚན་རིག	Categorie:Wetenschap
Category:མཉམ་འབྲེལ་རྒྱལ་ཚོགས།	Categorie:Verenigde Naties
Category:གློག་བརྙན།	Categorie:Film
Category:སྤེལ་རེས།	Categorie:Communicatie
Category:སའི་གོ་ལ།	Categorie:Aarde
ཐི་ར། (གསུང་རབ།)	Tiras
ཐུ་བལ། (གསུང་རབ།)	Tubal
སྣར་ཐང་དགོན།	Narthang
ཁ་སི་ཁོ་ཡུན་གཙང་པོ།	Gascoyne (rivier)
དགེ་འདུན་ཆོས་འཕེལ།	Gendün Chöpel
ཡ་ཀ་རི།	Yakari
ཤེལ་གྲི།	Glassnijder (gereedschap)
འདེགས་རྟེན།	Standaard (fiets)
ཨལ་ཕཱ།	Alfeüs
ཞེ་ཆེན་དགོན།	Shechen
བོད་ཀྱི་རོལ་དབྱངས།	Tibetaanse muziek
ས་སྐྱ་དགོན།	Sakya (klooster)
སྨོན་གྲོལ་གླིང་དགོན།	Mindroling
ཀིརྟི་དགོན་	Kirti
དཀར་ཕྲུག	Bobbie (Kuifje)
ཁེབ་ཊན་ཧ་རྡོག	Kapitein Haddock
ཏར་ཏ་ལི་ཡ།	Tartaglia
ཕེ་ལེག	Peleg
ཏ་ཟིག་གི་མི།	Iraanse volkeren
ཡ་ཝན། (གསུང་རབ།)	Javan
ཇོ་ནང་པ།	Jonang
བང་སྒྱུར་ཡུ་བ།	Versnellingspook
རྫ་བྲ།	Ochotona gloveri
སལ་མོན།	Salmon (persoon)
ནབ་ཏ་ལིྰ།	Naftali (persoon)
སི་མེ་ཡོན། (གསུང་རབ།)	Simeon (zoon van Jakob)
གནས་ཆུང་དགོན།	Nechung
ལུང་སྟོན་མ་ཨན་ནཱ།	Anna (profetes)
ཨ་ཤེར།	Aser (persoon)
སི་ཀ་ར་མུ་ཅིའ།	Scaramouche (personage)
ནཱ་སོན།	Nahasson
དཔལ་ཆོས་དགོན།	Palcho
སྐུ་འབུམ་དགོན།	Kumbum (klooster)
རའོ་ནི་མེ་ཏུག་ཏི་རེ།	Raoni Metuktire
བླ་བྲང་དགོན།	Labrang (klooster)
ཀེའུ་ཙོང་།	Prei
རམ། (གསུང་རབ།)	Ram (Bijbel)
ཆོས་ལུགས་བར་གྱི་དམག་འཁྲུག	Godsdienstoorlog
མ་བཅུག་པར་ཆགས་སྦྱོར་བྱེད་ཚུལ།	Niet-penetratieve seks
ར་མོ་ཆེ།	Ramoche
ཀ་ར་གི་ཡོ་ཟི་སི།	Karagiozis
བ་མེན།	Sichuantakin
གྲོང་ཁྱེར་ཆེན་པོར།	Metropoolregio
སད་ན་ལེགས།	Sadnaleg
བཀྲ་ཤིས་རྟགས་བརྒྱད།	Ashtamangala
དམན་རི་དགོན།	Menri
༄༅། ཞོ་སྟོན།	Yoghurtfestival
གསར་འགོད་པ།	Journalist
སྨོན་ལམ་ཆེན་མོ།	Mönlam
མ་གོག (གསུང་རབ།)	Magog (persoon)
Category:མཚན་ཉིད་རིག་པ།	Categorie:Filosofie
Category:སེམས་ཁམས་རིག་པ།	Categorie:Psychologie
Category:ནང་པ་སངས་རྒྱས་ཆོས་ལུགས།	Categorie:Boeddhisme
Category:ཡེ་ཤུའི་ཆོས་ལུགས།	Categorie:Christendom
Category:ཧིན་ཏུའི་ཆོས་ལུགས།	Categorie:Hindoeïsme
Category:དབྱི་སི་ལམ་ཆོས་ལུགས།	Categorie:Islam
རྒྱལ་རྩེ།	Gyantse (stad)
སྒྲོག་ཁུང་།	Knoopsgat
བཅོ་ལྔ་མཆོད་པ།	Boterkaarsfestival
རེའུ།	Rehu
དཔལ་སྤུངས་དགོན།	Palpung
སྨན་རྩིས་ཁང་།	Men Tsee Khang
བོད་ཡིག་གི་ཝེ་ཁེ་རིག་མཛོད།	Tibetaanse Wikipedia
