ཨ་ཧྥེ་རི་ཁ།	Afrika
ཝེ་ཧི་ས་ཡེ་ཕོ་བྲང་།	Kasteel van Versailles
རང་དབང་།	Vrijheid (filosofie)
པེ་ར་མེ་རི་བོ།	Paramaribo
ཀ་ཏ་མན་ཏུ།	Kathmandu (stad)
པེར་མོ་ཕན།	Belmopan
སན་ཇོ་སེ། (ཁོ་ས་ཏ་རི་ཁ།)	San José (Costa Rica)
སན་སལ་ཝ་ཌོར།	San Salvador (stad)
ཁན་པེ་ར།	Canberra
སིད་ནེ།	Sydney
ལྗང་ཁུ།	Groen (kleur)
མེར་བུན	Melbourne
དམར་པོ།	Rood (kleur)
ཨ་ཝེ་རོང་།	Aveyron (departement)
ཐེ་གུ་སི་གེ་པ།	Tegucigalpa
མ་ན་གུ་འ།	Managua (stad)
པ་ན་མ། (གྲོང་རྡལ།)	Panama-Stad
ཁོང་ཀོ་གཙང་པོ།	Kongo (rivier)
ར་བ་ཐེ།	Rabat (Marokko)
ཨཱལ་ཇི་ཡར་སི།	Algiers
ཊུ་ནིསི།	Tunis
ཐི་རི་ཕོ་ལི	Tripoli (Libië)
ཇི་བའོ་ཊི། (གྲོང་རྡལ།)	Djibouti (stad)
ཏེ་ཧི་རན།	Teheran
ཨ་ཌི་སི་ཨ་བ་བ།	Addis Abeba
ཊ་ཁར་ཏ།	Jakarta
ཨན་ཁ་ར།	Ankara
ཨཱ་སི་མི་ར།	Asmara
ཇ་མི་ན།	Ndjamena
